id,session_id,rssi,ssid,timestamp,robot_id,loc_x,loc_y,rank,s_id
53,0709150823robot5,-83,zotaci4,2015-07-09 15:08:26,robot5,4800,100,2.0,0709150823robot5
54,0709150823robot5,-61,zotacD1,2015-07-09 15:08:26,robot5,4800,100,3.0,0709150823robot5
55,0709150823robot5,-65,zotacB2,2015-07-09 15:08:26,robot5,4800,100,4.0,0709150823robot5
56,0709150823robot5,-63,zotacD2,2015-07-09 15:08:26,robot5,4800,100,5.0,0709150823robot5
57,0709150823robot5,-69,zotacD4,2015-07-09 15:08:26,robot5,4800,100,6.0,0709150823robot5
58,0709150823robot5,-63,zotacB3,2015-07-09 15:08:26,robot5,4800,100,7.0,0709150823robot5
59,0709150823robot5,-67,zotacB1,2015-07-09 15:08:26,robot5,4800,100,8.0,0709150823robot5
60,0709150823robot5,-73,zotacG2,2015-07-09 15:08:26,robot5,4800,100,9.0,0709150823robot5
61,0709150823robot5,-70,zotacH1,2015-07-09 15:08:26,robot5,4800,100,10.0,0709150823robot5
62,0709150823robot5,-76,zotacH1,2015-07-09 15:08:26,robot5,4800,100,11.0,0709150823robot5
63,0709150823robot5,-75,zotacG1,2015-07-09 15:08:26,robot5,4800,100,12.0,0709150823robot5
64,0709150823robot5,-79,zotacG4,2015-07-09 15:08:26,robot5,4800,100,13.0,0709150823robot5
65,0709150823robot5,-81,zotaci1,2015-07-09 15:08:27,robot5,4800,100,14.0,0709150823robot5
66,0709150823robot5,-77,zotacH3,2015-07-09 15:08:27,robot5,4800,100,15.0,0709150823robot5
67,0709150823robot5,-82,zotaci3,2015-07-09 15:08:27,robot5,4800,100,16.0,0709150823robot5
68,0709150823robot5,-87,zotacj1,2015-07-09 15:08:27,robot5,4800,100,17.0,0709150823robot5
69,0709150823robot5,-72,zotaci2,2015-07-09 15:08:27,robot5,4800,100,18.0,0709150823robot5
70,0709150823robot5,-66,zotacB4,2015-07-09 15:08:27,robot5,4800,100,19.0,0709150823robot5
71,0709150823robot5,-60,zotacC1,2015-07-09 15:08:27,robot5,4800,100,20.0,0709150823robot5
72,0709150823robot5,-68,zotacC3,2015-07-09 15:08:27,robot5,4800,100,21.0,0709150823robot5
73,0709150823robot5,-68,zotacE3,2015-07-09 15:08:27,robot5,4800,100,22.0,0709150823robot5
74,0709150823robot5,-65,zotacE1,2015-07-09 15:08:27,robot5,4800,100,23.0,0709150823robot5
75,0709150823robot5,-67,zotacE4,2015-07-09 15:08:27,robot5,4800,100,24.0,0709150823robot5
76,0709150823robot5,-68,zotacF1,2015-07-09 15:08:27,robot5,4800,100,25.0,0709150823robot5
77,0709150823robot5,-67,zotacF3,2015-07-09 15:08:27,robot5,4800,100,26.0,0709150823robot5
78,0709150823robot5,-82,zotacF4,2015-07-09 15:08:27,robot5,4800,100,27.0,0709150823robot5
79,0709150823robot5,-71,zotacF2,2015-07-09 15:08:27,robot5,4800,100,28.0,0709150823robot5
80,0709150823robot5,-72,zotacG3,2015-07-09 15:08:27,robot5,4800,100,29.0,0709150823robot5
81,0709150823robot5,-83,zotacj4,2015-07-09 15:08:27,robot5,4800,100,30.0,0709150823robot5
82,0709150823robot5,-83,zotack1,2015-07-09 15:08:27,robot5,4800,100,31.0,0709150823robot5
83,0709150823robot5,-85,zotack2,2015-07-09 15:08:27,robot5,4800,100,32.0,0709150823robot5
84,0709150823robot5,-82,zotack3,2015-07-09 15:08:27,robot5,4800,100,33.0,0709150823robot5
