session id, alpha, estimated, actual, error
0710095317robot5, -3.18437211996, (3700.442329664629, 114.007837863765), (4498, 573), (-797.5576703353709, -458.992162136235)
0710095231robot5, 1.00737364254, (4228.833042713639, 1353.6766672995748), (4697, 574), (-468.16695728636114, 779.6766672995748)
0710095341robot5, -0.784357098661, (4338.392657010386, 590.8693158341028), (4399, 574), (-60.60734298961415, 16.86931583410285)
0710095104robot5, -11.6109378603, (4971.577446055513, 476.26926783519957), (4899, 398), (72.57744605551306, 78.26926783519957)
0710093324robot5, 0.108108256239, (88974.5078359816, 58126.597826819525), (4800, 100), (84174.5078359816, 58026.597826819525)
0710095126robot5, -5.06410295463, (4580.127651025721, 878.6056668950255), (4899, 502), (-318.8723489742788, 376.6056668950255)
0710095209robot5, 0.377883536371, (5972.816828724629, -294.50971217295495), (4803, 576), (1169.816828724629, -870.509712172955)
0710084550robot5, 0.373660457403, (-41636.59840217139, -51009.718960176084), (4905, 304), (-46541.59840217139, -51313.718960176084)
0710095148robot5, -0.0992697081688, (6415.060360369047, 2750.77777910112), (4797, 500), (1618.060360369047, 2250.77777910112)
0710095039robot5, -3.44891371013, (4790.341969362907, 692.7782100221793), (4899, 305), (-108.65803063709336, 387.77821002217934)
0710095253robot5, -0.0173437886167, (6.4436686784858694e+47, 2.9970551993480116e+46), (4601, 574), (6.4436686784858694e+47, 2.9970551993480116e+46)
0710084445robot5, -0.963728322171, (4956.557965027688, 1181.1148999209504), (4905, 304), (51.557965027687715, 877.1148999209504)
